Skill,Count,Percentage,Definition,Evidence,Math Example
Algebraic Manipulation and Simplification,2,0.6944444444444444,The ability to transform complex equations into simpler forms through step-by-step algebraic operations.,"The extensive algebraic work from ""We are given that $A_1 = \frac{59}{58} A_2$..."" through multiple steps to arrive at ""$r = \frac{116s}{118 - s}$""",Let $P_1^{}$ be a regular $r~\mbox{gon}$ and $P_2^{}$ be a regular $s~\mbox{gon}$ $(r\geq s\geq 3)$ such that each interior angle of $P_1^{}$ is $\frac{59}{58}$ as large as each interior angle of $P_2...
Case,2,0.6944444444444444,The ability to case in mathematical problem-solving.,No evidence provided.,"Let $A$ be a $2n \times 2n$ matrix, with entries chosen independently at random. Every entry is chosen to be 0 or 1, each with probability $1/2$. Find the expected value of $\det(A-A^t)$ (as a functio..."
Problem Decomposition,2,0.6944444444444444,"Breaking down a complex problem into smaller, more manageable components.","""Let's break down this problem step by step, combining physics principles and problem-solving strategies."" The solver then proceeds to organize their approach into distinct phases: understanding the problem, identifying key concepts, formulating a strategy, and executing step-by-step.","Astronomers are studying a star with a 1.4 solar radius and 1.2 solar masses. When the star's surface is not covered by dark spots, its Teff is 6000K. However, when 40% of its surface is covered by sp..."
Calculus,2,0.6944444444444444,The ability to calculus in mathematical problem-solving.,No evidence provided.,1.2.2. A process called free convection occurs when the air density increases with altitude. At which values of $\Lambda$ does the free convection occur?
Coordinate Transformation,2,0.6944444444444444,The ability to coordinate transformation in mathematical problem-solving.,No evidence provided.,Find the eigenvalues and their multiplicities of the Laplace operator  $\Delta = \text{div grad}$  on a sphere of radius  $R$  in Euclidean space of dimension  $n$ .
Domain Knowledge Application,2,0.6944444444444444,The ability to domain knowledge application in mathematical problem-solving.,No evidence provided.,2.  The potential due to the line charge could be written as
Algebraic Manipulation,2,0.6944444444444444,Transforming mathematical expressions using algebraic rules to reach more useful forms.,"> ""Using cot x = cos x/sin x and log 1/x = -log x:""
> ""D₂ = log₍ₑ₎(4/π) (cos²(θ+π/4)/sin(θ+π/4) - sin²(θ-π/4)/cos(θ-π/4))""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Analytical Decomposition,2,0.6944444444444444,The ability to analytical decomposition in mathematical problem-solving.,No evidence provided.,"Find the area of the region of the points such that the total of three tangent lines can be drawn to two parabolas  $y=x-x^2,\ y=a(x-x^2)\ (a\geq 2)$  in such a way that there existed the points of ta..."
Boundary Analysis,1,0.3472222222222222,Carefully examining the boundaries of the solution space to ensure accurate counting.,"- ""Consider the constraints on j. Since i ≥ 0, we have 223j < 1775. j < 1775/223 ≈ 7.959""
- For each j value, calculating the upper bound on i: ""i < 1775/9 ≈ 197.22""
- Later reflection: ""Let's be careful with strict inequality.""",The graph of the equation $9x+223y=2007$ is drawn on graph paper with each square representing one unit in each direction. How many of the $1$ by $1$ graph paper squares have interiors lying entirely ...
Statistical Reasoning,1,0.3472222222222222,The ability to statistical reasoning in mathematical problem-solving.,No evidence provided.,"Consider a container filled with argon, with molar mass $39.9 \mathrm{~g} \mathrm{~mol}^{-1}$ whose pressure is much smaller than that of atmospheric pressure. Suppose there is a plate of area $A=10 \..."
Mathematical Reformulation,1,0.3472222222222222,The ability to mathematical reformulation in mathematical problem-solving.,No evidence provided.,"Let \( X(s, t) := \inf_{u \in [s,t]} \{W(u)\}, \) for standard Brownian motion \( W(t), \) starting at \( W(0) = 0. \) For any \( t > 1 \) and \( \varepsilon > 0, \) denote by \( f_{t, \varepsilon}(x)..."
Problem Representation and Translation,1,0.3472222222222222,The ability to problem representation and translation in mathematical problem-solving.,No evidence provided.,"Suppose you have a sphere tangent to the  $xy$ -plane with its center having positive  $z$ -coordinate.  If it is projected from a point  $P=(0,b,a)$  to the  $xy$ -plane, it gives the conic section  ..."
Theorem Application,1,0.3472222222222222,The ability to theorem application in mathematical problem-solving.,No evidence provided.,"Every group of order $5\cdot7\cdot47=1645 is abelian, and cyclic. Is this true? Answer true or false."
Translating Problem Conditions into Mathematical Inequalities,1,0.3472222222222222,Converting verbal or conceptual conditions into precise mathematical expressions or inequalities.,"The solver translates the triangle inequality conditions into specific inequalities involving trigonometric functions:
```
We need to find the conditions under which the triangle inequality is violated. This means at least one of the following is true:
1. sin²x + cos²x ≤ sin x cos x
2. sin²x + sin x cos x ≤ cos²x
3. cos²x + sin x cos x ≤ sin²x
```","An angle $x$ is chosen at random from the interval $0^\circ < x < 90^\circ.$ Let $p$ be the probability that the numbers $\sin^2 x, \cos^2 x,$ and $\sin x \cos x$ are not the lengths of the sides of a..."
Concrete Example Testing,1,0.3472222222222222,The ability to concrete example testing in mathematical problem-solving.,No evidence provided.,"There are  $N\ge3$  letters arranged in a circle, and each letter is one of  $L$ ,  $T$  and  $F$ . For a letter, we can do the following operation: if its neighbors are the same, then change it to th..."
Application of Fundamental Physical Principles,1,0.3472222222222222,The ability to application of fundamental physical principles in mathematical problem-solving.,No evidence provided.,"Consider a container filled with argon, with molar mass $39.9 \mathrm{~g} \mathrm{~mol}^{-1}$ whose pressure is much smaller than that of atmospheric pressure. Suppose there is a plate of area $A=10 \..."
Conceptual Decomposition,1,0.3472222222222222,The ability to conceptual decomposition in mathematical problem-solving.,No evidence provided.,"Consider a container filled with argon, with molar mass $39.9 \mathrm{~g} \mathrm{~mol}^{-1}$ whose pressure is much smaller than that of atmospheric pressure. Suppose there is a plate of area $A=10 \..."
Knowledge Activation and Application,1,0.3472222222222222,The ability to knowledge activation and application in mathematical problem-solving.,No evidence provided.,"For any integer $k$, write $f_{k}(x)=\left(1+x^{2}\right)^{-1-k}$. When $k \geq 1$, find constants $c_{1}, c_{2}$ such that the function $y=\left(S f_{k}\right)(x)$ solves a second order differential ..."
Strategic Variable Substitution,1,0.3472222222222222,Introducing new variables to simplify complex expressions or to reframe a problem in more manageable terms.,"The solver introduces y = tan x to transform the trigonometric inequalities into polynomial inequalities:
```
Let y = tan x. Since 0° < x < 90°, we have 0 < tan x < ∞. So y > 0.","An angle $x$ is chosen at random from the interval $0^\circ < x < 90^\circ.$ Let $p$ be the probability that the numbers $\sin^2 x, \cos^2 x,$ and $\sin x \cos x$ are not the lengths of the sides of a..."
Frame of Reference Shifting,1,0.3472222222222222,The ability to frame of reference shifting in mathematical problem-solving.,No evidence provided.,"Consider a container filled with argon, with molar mass $39.9 \mathrm{~g} \mathrm{~mol}^{-1}$ whose pressure is much smaller than that of atmospheric pressure. Suppose there is a plate of area $A=10 \..."
Physical Modeling and Idealization,1,0.3472222222222222,The ability to physical modeling and idealization in mathematical problem-solving.,No evidence provided.,"Consider a container filled with argon, with molar mass $39.9 \mathrm{~g} \mathrm{~mol}^{-1}$ whose pressure is much smaller than that of atmospheric pressure. Suppose there is a plate of area $A=10 \..."
Algebraic Geometry Techniques,1,0.3472222222222222,The ability to algebraic geometry techniques in mathematical problem-solving.,No evidence provided.,"Among all ellipses with center at the origin, exactly one such ellipse is tangent to the graph of the curve  $x^3 - 6x^2y + 3xy^2 + y^3 + 9x^2 - 9xy + 9y^2 = 0$  at three distinct points. The area of ..."
Geometric Insight and Visualization,1,0.3472222222222222,The ability to geometric insight and visualization in mathematical problem-solving.,No evidence provided.,"Among all ellipses with center at the origin, exactly one such ellipse is tangent to the graph of the curve  $x^3 - 6x^2y + 3xy^2 + y^3 + 9x^2 - 9xy + 9y^2 = 0$  at three distinct points. The area of ..."
Algebraic Manipulation and Factorization,1,0.3472222222222222,The ability to algebraic manipulation and factorization in mathematical problem-solving.,No evidence provided.,"Positive integers $a$ , $b$ , $c$ , and $d$ satisfy $a > b > c > d$ , $a + b + c + d = 2010$ , and $a^2 - b^2 + c^2 - d^2 = 2010$ . Find the number of possible values of $a$ ."
Dimensional Analysis and Unit Verification,1,0.3472222222222222,The ability to dimensional analysis and unit verification in mathematical problem-solving.,No evidence provided.,"Consider a container filled with argon, with molar mass $39.9 \mathrm{~g} \mathrm{~mol}^{-1}$ whose pressure is much smaller than that of atmospheric pressure. Suppose there is a plate of area $A=10 \..."
Symmetry Analysis,1,0.3472222222222222,The ability to symmetry analysis in mathematical problem-solving.,No evidence provided.,"In quantum mechanics, when calculating the interaction between the electron with the proton in a hydrogen atom, it is necessary to compute the following volume integral (over all space):"
Quadratic Equation Analysis,1,0.3472222222222222,"Applying techniques to solve and analyze quadratic equations, including finding roots and determining where the function is positive or negative.","The solver systematically solves the quadratic equations:
```
Find the roots of y² + y - 1 = 0 using the quadratic formula:
y = (-1 ± √(1² - 4(1)(-1)))/2(1) = (-1 ± √(1 + 4))/2 = (-1 ± √5)/2.","An angle $x$ is chosen at random from the interval $0^\circ < x < 90^\circ.$ Let $p$ be the probability that the numbers $\sin^2 x, \cos^2 x,$ and $\sin x \cos x$ are not the lengths of the sides of a..."
Domain Restriction Analysis,1,0.3472222222222222,Carefully considering the constraints on variables based on the problem context and eliminating impossible or irrelevant solutions,No evidence provided.,"An angle $x$ is chosen at random from the interval $0^\circ < x < 90^\circ.$ Let $p$ be the probability that the numbers $\sin^2 x, \cos^2 x,$ and $\sin x \cos x$ are not the lengths of the sides of a..."
Stability Condition Analysis,1,0.3472222222222222,The ability to stability condition analysis in mathematical problem-solving.,No evidence provided.,"There are  $N\ge3$  letters arranged in a circle, and each letter is one of  $L$ ,  $T$  and  $F$ . For a letter, we can do the following operation: if its neighbors are the same, then change it to th..."
Problem Representation and Formalization,1,0.3472222222222222,The ability to problem representation and formalization in mathematical problem-solving.,No evidence provided.,"FemtoPravis is walking on an $8 \times 8$ chessboard that wraps around at its edges (so squares on the left edge of the chessboard are adjacent to squares on the right edge, and similarly for the top ..."
Consistency Verification,1,0.3472222222222222,The ability to consistency verification in mathematical problem-solving.,No evidence provided.,"In trapezoid $ABCD$ with $\overline{BC}\parallel\overline{AD}$ , let $BC = 1000$ and $AD = 2008$ . Let $\angle A = 37^\circ$ , $\angle D = 53^\circ$ , and $M$ and $N$ be the midpoints of $\overline{BC..."
Algebraic System Solving,1,0.3472222222222222,The ability to algebraic system solving in mathematical problem-solving.,No evidence provided.,"In trapezoid $ABCD$ with $\overline{BC}\parallel\overline{AD}$ , let $BC = 1000$ and $AD = 2008$ . Let $\angle A = 37^\circ$ , $\angle D = 53^\circ$ , and $M$ and $N$ be the midpoints of $\overline{BC..."
Strategic Approximation,1,0.3472222222222222,The ability to strategic approximation in mathematical problem-solving.,No evidence provided.,"In trapezoid $ABCD$ with $\overline{BC}\parallel\overline{AD}$ , let $BC = 1000$ and $AD = 2008$ . Let $\angle A = 37^\circ$ , $\angle D = 53^\circ$ , and $M$ and $N$ be the midpoints of $\overline{BC..."
Trigonometric Reasoning,1,0.3472222222222222,The ability to trigonometric reasoning in mathematical problem-solving.,No evidence provided.,"In trapezoid $ABCD$ with $\overline{BC}\parallel\overline{AD}$ , let $BC = 1000$ and $AD = 2008$ . Let $\angle A = 37^\circ$ , $\angle D = 53^\circ$ , and $M$ and $N$ be the midpoints of $\overline{BC..."
Decomposition and Auxiliary Construction,1,0.3472222222222222,The ability to decomposition and auxiliary construction in mathematical problem-solving.,No evidence provided.,"In trapezoid $ABCD$ with $\overline{BC}\parallel\overline{AD}$ , let $BC = 1000$ and $AD = 2008$ . Let $\angle A = 37^\circ$ , $\angle D = 53^\circ$ , and $M$ and $N$ be the midpoints of $\overline{BC..."
Geometric Interpretation and Visualization,1,0.3472222222222222,The ability to geometric interpretation and visualization in mathematical problem-solving.,No evidence provided.,Let $w$ and $z$ be complex numbers such that $|w| = 1$ and $|z| = 10$ . Let $\theta = \arg \left(\tfrac{w-z}{z}\right)$ . The maximum possible value of $\tan^2 \theta$ can be written as $\tfrac{p}{q}$...
Error Detection and Self,1,0.3472222222222222,The ability to identify errors or inconsistencies in one's work and make appropriate corrections.,"- ""Check if the state is normalized: $|c_1|^2 + |c_2|^2 + |c_3|^2 + |c_4|^2 = 1/15 + 2/15 + 4/15 + 16/15 = (1+2+4+16)/15 = 23/15$. The state is not normalized.""
- ""Let's re-evaluate the first method. The expectation value formula is valid even if the state is not normalized. $\langle H \rangle = \frac{\langle \psi | H | \psi \rangle}{\langle \psi | \psi \rangle}$""","The state $\psi$ of a system is given in terms of a complete and orthonormal set of basis vectors $|\phi_1>,  |\phi_2>,  |\phi_3>$ and $| \phi_4 >$ as $|\psi> = \sqrt{1/15} |\phi_1> + \sqrt{2/15} |\ph..."
Variable Substitution and Simplification,1,0.3472222222222222,The ability to variable substitution and simplification in mathematical problem-solving.,No evidence provided.,Let $w$ and $z$ be complex numbers such that $|w| = 1$ and $|z| = 10$ . Let $\theta = \arg \left(\tfrac{w-z}{z}\right)$ . The maximum possible value of $\tan^2 \theta$ can be written as $\tfrac{p}{q}$...
Algebraic Transformation and Manipulation,1,0.3472222222222222,The ability to algebraic transformation and manipulation in mathematical problem-solving.,No evidence provided.,"Find the condition of  $a,b$  for which the function  $f(x)\ (0\leq x\leq 2\pi)$  satisfying the following equality can be determined uniquely,then determine  $f(x)$ , assuming that  $f(x) $  is a con..."
Critical Self,1,0.3472222222222222,The ability to critical self in mathematical problem-solving.,No evidence provided.,"In quantum mechanics, when calculating the interaction between the electron with the proton in a hydrogen atom, it is necessary to compute the following volume integral (over all space):"
Problem Representation and Modeling,1,0.3472222222222222,The ability to problem representation and modeling in mathematical problem-solving.,No evidence provided.,"Dave arrives at an airport which has twelve gates arranged in a straight line with exactly $100$ feet between adjacent gates. His departure gate is assigned at random. After waiting at that gate, Dave..."
Geometric Reasoning,1,0.3472222222222222,The ability to geometric reasoning in mathematical problem-solving.,"- Translating tangency conditions into mathematical relationships: ""Since $w$ is externally tangent to $w_2$, the distance between the centers is equal to the sum of the radii""
- Analyzing relative positions of circles: ""Since $d(C_1, C_2) < r_1 + r_2$, the circles intersect or one is inside the other""
- Understanding the geometric meaning of internal and external tangency","Let $w_1$ and $w_2$ denote the circles $x^2+y^2+10x-24y-87=0$ and $x^2 +y^2-10x-24y+153=0,$ respectively. Let $m$ be the smallest positive value of $a$ for which the line $y=ax$ contains the center of..."
Integral Evaluation Strategy,1,0.3472222222222222,The ability to integral evaluation strategy in mathematical problem-solving.,No evidence provided.,"In quantum mechanics, when calculating the interaction between the electron with the proton in a hydrogen atom, it is necessary to compute the following volume integral (over all space):"
Coordinate System Transformation,1,0.3472222222222222,The ability to coordinate system transformation in mathematical problem-solving.,No evidence provided.,"a. Derive an expression for the deviation of the compass, $\delta \theta$, from north as a function of $K_{b}$, $K_{s}$, and $\theta$."
Potential Function,1,0.3472222222222222,The ability to potential function in mathematical problem-solving.,No evidence provided.,"There are  $N\ge3$  letters arranged in a circle, and each letter is one of  $L$ ,  $T$  and  $F$ . For a letter, we can do the following operation: if its neighbors are the same, then change it to th..."
Inductive Reasoning,1,0.3472222222222222,The ability to inductive reasoning in mathematical problem-solving.,The solver attempts to generalize from specific examples to a pattern.,"Anna and Berta play a game in which they take turns in removing marbles from a table. Anna takes the first turn. When at the beginning of the turn there are  $n\geq 1$  marbles on the table, then the ..."
System of Equations Solving,1,0.3472222222222222,The ability to set up and solve multiple interrelated equations to find unknown parameters.,"- ""Comparing the coefficients with the given state:
  $ac = \frac{\sqrt{6}}{6}$
  $ad = \frac{\sqrt{6}}{6}$
  $bc = \frac{\sqrt{3}}{3}$
  $bd = \frac{\sqrt{3}}{3}$""
- ""From $ac = ad$, if $a \neq 0$, then $c = d$.""
- ""Dividing the two equations: $\frac{ak}{bk} = \frac{\sqrt{6}/6}{\sqrt{3}/3} = \frac{\sqrt{6}}{6} \times \frac{3}{\sqrt{3}} = \frac{\sqrt{2}}{2}$.""",Consider this quantum state
Constraint Validation,1,0.3472222222222222,The ability to constraint validation in mathematical problem-solving.,No evidence provided.,Let $\mathcal{R}$ be the region consisting of the set of points in the coordinate plane that satisfy both $|8 - x| + y \le 10$ and $3y - x \ge 15$ . When $\mathcal{R}$ is revolved around the line whos...
Pattern Recognition and Generalization,1,0.3472222222222222,The ability to pattern recognition and generalization in mathematical problem-solving.,No evidence provided.,"Let  $A=\{1,2,\ldots,2012\}, \: B=\{1,2,\ldots,19\}$  and  $S$  be the set of all subsets of  $A.$  Find the number of functions  $f : S\to B$  satisfying  $f(A_1\cap A_2)=\min\{f(A_1),f(A_2)\}$  for ..."
Systematic Case Analysis,1,0.3472222222222222,Breaking down a problem into distinct cases and methodically analyzing each one.,"- ""Since $x>0$ and $m_2$ is an integer, $x$ must be a positive divisor of 5. So $x \in \{1, 5\}$.""
- ""Case 1: $x=1$... Case 2: $x=5$...""
- Later, the solver systematically tests different values of $b_2$ (0 and 1) to find valid solutions.","Consider the additive group  $\mathbb{Z}^{2}$ . Let  $H$  be the smallest subgroup containing  $(3,8), (4,-1)$  and  $(5,4)$ ."
Iterative Approach Refinement,1,0.3472222222222222,The ability to iterative approach refinement in mathematical problem-solving.,No evidence provided.,Square $ABCD$ is inscribed in a circle. Square $EFGH$ has vertices $E$ and $F$ on $\overline{CD}$ and vertices $G$ and $H$ on the circle. The ratio of the area of square $EFGH$ to the area of square $...
Algebraic Relationship Derivation,1,0.3472222222222222,The ability to algebraic relationship derivation in mathematical problem-solving.,No evidence provided.,Square $ABCD$ is inscribed in a circle. Square $EFGH$ has vertices $E$ and $F$ on $\overline{CD}$ and vertices $G$ and $H$ on the circle. The ratio of the area of square $EFGH$ to the area of square $...
Spatial Reasoning and Visualization,1,0.3472222222222222,The ability to spatial reasoning and visualization in mathematical problem-solving.,No evidence provided.,Square $ABCD$ is inscribed in a circle. Square $EFGH$ has vertices $E$ and $F$ on $\overline{CD}$ and vertices $G$ and $H$ on the circle. The ratio of the area of square $EFGH$ to the area of square $...
Strategic Simplification,1,0.3472222222222222,The ability to strategic simplification in mathematical problem-solving.,No evidence provided.,Square $ABCD$ is inscribed in a circle. Square $EFGH$ has vertices $E$ and $F$ on $\overline{CD}$ and vertices $G$ and $H$ on the circle. The ratio of the area of square $EFGH$ to the area of square $...
Formula Derivation and Manipulation,1,0.3472222222222222,The ability to formula derivation and manipulation in mathematical problem-solving.,No evidence provided.,Find the eigenvalues and their multiplicities of the Laplace operator  $\Delta = \text{div grad}$  on a sphere of radius  $R$  in Euclidean space of dimension  $n$ .
Verification through Special Cases,1,0.3472222222222222,The ability to verification through special cases in mathematical problem-solving.,No evidence provided.,Find the eigenvalues and their multiplicities of the Laplace operator  $\Delta = \text{div grad}$  on a sphere of radius  $R$  in Euclidean space of dimension  $n$ .
Scaling Analysis,1,0.3472222222222222,The ability to scaling analysis in mathematical problem-solving.,No evidence provided.,Find the eigenvalues and their multiplicities of the Laplace operator  $\Delta = \text{div grad}$  on a sphere of radius  $R$  in Euclidean space of dimension  $n$ .
Strategic Flexibility and Approach Shifting,1,0.3472222222222222,The ability to strategic flexibility and approach shifting in mathematical problem-solving.,No evidence provided.,"Find the area of the region of the points such that the total of three tangent lines can be drawn to two parabolas  $y=x-x^2,\ y=a(x-x^2)\ (a\geq 2)$  in such a way that there existed the points of ta..."
Dimensional Reduction,1,0.3472222222222222,The ability to dimensional reduction in mathematical problem-solving.,No evidence provided.,Find the eigenvalues and their multiplicities of the Laplace operator  $\Delta = \text{div grad}$  on a sphere of radius  $R$  in Euclidean space of dimension  $n$ .
Systematic Enumeration,1,0.3472222222222222,The ability to methodically list all possibilities in an organized manner without omissions.,"""The divisors are of the form $2^a \times 29^b \times 59^c$, where $0 \leq a \leq 3$, $0 \leq b \leq 1$, $0 \le

Identified Skills:",Let $P_1^{}$ be a regular $r~\mbox{gon}$ and $P_2^{}$ be a regular $s~\mbox{gon}$ $(r\geq s\geq 3)$ such that each interior angle of $P_1^{}$ is $\frac{59}{58}$ as large as each interior angle of $P_2...
Prime Factorization,1,0.3472222222222222,The ability to decompose numbers into their prime factors to facilitate further analysis.,"""$116 = 2^2 \times 29$ $118 = 2 \times 59$ $116 \times 118 = (2^2 \times 29) \times (2 \times 59) = 2^3 \times 29 \times 59 = 8 \times 29 \times 59 = 8 \times 1711 = 13688$.""",Let $P_1^{}$ be a regular $r~\mbox{gon}$ and $P_2^{}$ be a regular $s~\mbox{gon}$ $(r\geq s\geq 3)$ such that each interior angle of $P_1^{}$ is $\frac{59}{58}$ as large as each interior angle of $P_2...
Number Theory Application,1,0.3472222222222222,The ability to number theory application in mathematical problem-solving.,"The solver applies number theory concepts to simplify the final fraction:
> ""We need to simplify the fraction 246/784. Divide both numerator and denominator by their greatest common divisor.""
> ""Prime factorization of 123: 123 = 3 × 41. Prime factorization of 392: 392 = 2³ × 7²""","Jackie and Phil have two fair coins and a third coin that comes up heads with probability $\frac47$ . Jackie flips the three coins, and then Phil flips the three coins. Let $\frac {m}{n}$ be the proba..."
Case Analysis and Constraint Handling,1,0.3472222222222222,The ability to break down a problem into distinct cases and analyze each case with respect to the given constraints.,"""Case 1: $118 - s > 0$, which means $s < 118$... Case 2: $118 - s < 0$, which means $s > 118$...""",Let $P_1^{}$ be a regular $r~\mbox{gon}$ and $P_2^{}$ be a regular $s~\mbox{gon}$ $(r\geq s\geq 3)$ such that each interior angle of $P_1^{}$ is $\frac{59}{58}$ as large as each interior angle of $P_2...
Variable Definition and Systematic Equation Setup,1,0.3472222222222222,The ability to define variables clearly and set up equations that accurately represent the problem constraints.,"""Let the interior angle of $P_1$ be $A_1$ and the interior angle of $P_2$ be $A_2$. $A_1 = \frac{(r-2) \times 180^\circ}{r}$ $A_2 = \frac{(s-2) \times 180^\circ}{s}$""",Let $P_1^{}$ be a regular $r~\mbox{gon}$ and $P_2^{}$ be a regular $s~\mbox{gon}$ $(r\geq s\geq 3)$ such that each interior angle of $P_1^{}$ is $\frac{59}{58}$ as large as each interior angle of $P_2...
Formula Retrieval and Application,1,0.3472222222222222,The ability to recall relevant mathematical formulas and apply them appropriately to the problem context.,"""The interior angle of a regular $n$-gon is given by the formula $\frac{(n-2) \times 180^\circ}{n}$ or $(1 - \frac{2}{n}) \times 180^\circ$.""",Let $P_1^{}$ be a regular $r~\mbox{gon}$ and $P_2^{}$ be a regular $s~\mbox{gon}$ $(r\geq s\geq 3)$ such that each interior angle of $P_1^{}$ is $\frac{59}{58}$ as large as each interior angle of $P_2...
