Skill,Count,Percentage,Definition,Evidence,Math Example
Variable Substitution and Pattern Recognition,1,1.4705882352941175,The ability to introduce helpful substitutions that reveal patterns and simplify complex expressions.,"""Let $x_n = \frac{\pi}{3^n}$"" and later ""Let $a_n = 3^n \sin\left(\frac{\pi}{3^n}\right)$. Then, $T_n = \frac{1}{4} (3 a_n - a_{n-1})$""",Compute the nearest integer to $$100 \sum_{n=1}^{\infty} 3^{n} \sin ^{3}\left(\frac{\pi}{3^{n}}\right)$$
Telescoping Series Identification,1,1.4705882352941175,"The ability to recognize or attempt to create a telescoping series where terms cancel out, leaving only boundary terms.","""The partial sum $S_N = \sum_{n=1}^{N} T_n = \sum_{n=1}^{N} \frac{1}{4} (3 a_n - a_{n-1})$... $4 S_N = (3 a_1 - a_0) + (3 a_2 - a_1) + (3 a_3 - a_2) + \dots + (3 a_N - a_{N-1})$""",Compute the nearest integer to $$100 \sum_{n=1}^{\infty} 3^{n} \sin ^{3}\left(\frac{\pi}{3^{n}}\right)$$
Small,1,1.4705882352941175,The ability to use approximations for trigonometric functions when their arguments are small.,"""Let's use the approximation $\sin(x) \approx x$ for small $x$. $\sin\left(\frac{\pi}{3^n}\right) \approx \frac{\pi}{3^n}$ for large $n$.""",Compute the nearest integer to $$100 \sum_{n=1}^{\infty} 3^{n} \sin ^{3}\left(\frac{\pi}{3^{n}}\right)$$
Formula Selection and Adaptation,1,1.4705882352941175,Choosing appropriate mathematical models and adapting them to the specific problem context.,"- ""We can use the empirical formula for the most stable isobaric nucleus: Z_stable ≈ A / (1.98 + 0.015 A^(2/3))""
- ""The energy released is approximately the difference in the binding energies. For isobars, the mass difference is mainly due to the Coulomb term and the symmetry term.""
- ""M(A, Z) = Constant + c_c Z^2 A^(-1/3) + c_sym (N-Z)^2 A^-1""",Consider the fission of $^{236}U$ into two equal mass prompt fission fragments and zero free neutrons. What is the value of proton number Z giving the most stable nucleus with the same mass number? Wh...
Geometric Series Application,1,1.4705882352941175,The ability to recognize and apply the formula for the sum of a geometric series.,"""The sum becomes approximately $\sum_{

Identified Skills:",Compute the nearest integer to $$100 \sum_{n=1}^{\infty} 3^{n} \sin ^{3}\left(\frac{\pi}{3^{n}}\right)$$
Pattern Recognition and Equation Manipulation,1,1.4705882352941175,The ability to pattern recognition and equation manipulation in mathematical problem-solving.,No evidence provided.,"A.4 In the ultrarelativistic limit, the energy of the electron as a function of time is:"
Recursive Thinking,1,1.4705882352941175,The ability to recursive thinking in mathematical problem-solving.,No evidence provided.,"You are given integrable random variables \( X, Y_0 \) and \( Z_0 \) on the same probability space \( (\Omega, \mathcal{F}, \mathbb{P}) \), and two \( \sigma \)-algebras \( \mathcal{A} \subset \mathca..."
Series Manipulation and Summation,1,1.4705882352941175,The ability to series manipulation and summation in mathematical problem-solving.,No evidence provided.,Alice is sitting in a teacup ride with infinitely many layers of spinning disks. The largest disk has radius 5. Each succeeding disk has its center attached to a point on the circumference of the prev...
Problem Comprehension and Interpretation,1,1.4705882352941175,The ability to problem comprehension and interpretation in mathematical problem-solving.,No evidence provided.,Numbers $m$ and $n$ are on the number line. What is the value of $n-m$?
Metacognitive Monitoring,1,1.4705882352941175,"Awareness and regulation of one's own thinking process, including recognizing when to check work or change approaches.","> ""This looks complicated. Let's recheck the calculations.""
> ""The second determinant has many zeros. Let's use the property that if a row or column has many zeros, expansion along that row/column simplifies things.""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Hypothesis Generation and Testing,1,1.4705882352941175,Formulating multiple possible explanations or approaches and evaluating them against the problem constraints.,"- ""Consider the possibility that the stopping distance 's' from part 'a' is relevant.""
- ""Let's assume the net force causing the motion is dependent on position or time...""
- ""Let's assume the net force causing the motion depends on position, e.g., $F = kx$.""
- ""If the net force depends on time, e.g., $F = kt$.""","b. Let the box start at $x=0$, and let $t=0$ be the time the box first starts moving. Find the acceleration of the box in terms of $x, t, v_{0}, s$, and the other parameters, while the box is moving."
Mathematical Reasoning with Variables,1,1.4705882352941175,The ability to mathematical reasoning with variables in mathematical problem-solving.,No evidence provided.,Numbers $m$ and $n$ are on the number line. What is the value of $n-m$?
Conceptual Understanding of Number Line Properties,1,1.4705882352941175,The ability to conceptual understanding of number line properties in mathematical problem-solving.,No evidence provided.,Numbers $m$ and $n$ are on the number line. What is the value of $n-m$?
Answer Validation Through Multiple Methods,1,1.4705882352941175,Approaching the problem through different methods to cross-check results.,"- First using the empirical formula to find Z_stable, then checking it against the valley of stability concept
- Calculating energy release through both Q-value considerations and binding energy differences
- ""Let's use the concept of the mass parabola. The energy difference is proportional to (Z - Z_min)^2.""",Consider the fission of $^{236}U$ into two equal mass prompt fission fragments and zero free neutrons. What is the value of proton number Z giving the most stable nucleus with the same mass number? Wh...
Conservation Principle Application,1,1.4705882352941175,Identifying and applying fundamental conservation laws to constrain possible solutions.,"- ""Since the mass number is conserved, 2 * A_f = 236, so A_f = 236 / 2 = 118.""
- ""Since the proton number is conserved, 2 * Z_f = 92, so Z_f = 92 / 2 = 46.""",Consider the fission of $^{236}U$ into two equal mass prompt fission fragments and zero free neutrons. What is the value of proton number Z giving the most stable nucleus with the same mass number? Wh...
Problem Decomposition,1,1.4705882352941175,"Breaking down a complex problem into smaller, more manageable components.","""Let's break down this problem step by step, combining physics principles and problem-solving strategies."" The solver then proceeds to organize their approach into distinct phases: understanding the problem, identifying key concepts, formulating a strategy, and executing step-by-step.","Astronomers are studying a star with a 1.4 solar radius and 1.2 solar masses. When the star's surface is not covered by dark spots, its Teff is 6000K. However, when 40% of its surface is covered by sp..."
Computational Precision,1,1.4705882352941175,Executing complex calculations with accuracy and attention to detail.,"The solver carefully computes residues for poles of different orders:
- ""The residue at $z=i$ is $\lim_{z \to i} (z-i) \frac{e^{2 \pi \mathrm{i} z x}}{(z-i)(z+i)} = \frac{e^{2 \pi \mathrm{i} (i) x}}{i+i} = \frac{e^

Identified Skills:","For a continuous and absolutely integrable complex-valued function $f(x)$ on $\mathbb{R}$, define a function $(S f)(x)$ on $\mathbb{R}$ by $(S f)(x)=\int_{-\infty}^{+\infty} e^{2 \pi \mathrm{i} u x} f..."
Calculus Application,1,1.4705882352941175,The ability to calculus application in mathematical problem-solving.,No evidence provided.,"A.4 In the ultrarelativistic limit, the energy of the electron as a function of time is:"
Strategic Reformulation,1,1.4705882352941175,The ability to strategic reformulation in mathematical problem-solving.,No evidence provided.,Find the complex numbers  $ z$  for which the series
Convergence Analysis,1,1.4705882352941175,The ability to convergence analysis in mathematical problem-solving.,No evidence provided.,Find the complex numbers  $ z$  for which the series
Connection to Standard Functions,1,1.4705882352941175,The ability to connection to standard functions in mathematical problem-solving.,No evidence provided.,Find the complex numbers  $ z$  for which the series
Dimensional Analysis,1,1.4705882352941175,The ability to dimensional analysis in mathematical problem-solving.,No evidence provided.,Let  $ A$  be a family of proper closed subspaces of the Hilbert space  $ H\equal{}l^2$  totally ordered with respect to inclusion (that is
Numerical Computation,1,1.4705882352941175,Performing arithmetic operations and calculations accurately.,"- ""Pa = 1.5 kW / 0.75 = 2 kVA""
- ""Pr^2 = 4 - 2.25 = 1.75""
- ""sqrt(1.75) ≈ 1.3228756555""","A load dissipates 1.5kW of power in an ac series RC circuit. Given that the power factor is 0.75, what is its reactive power $(P_r)$? What is its apparent power $(P_a)$? Represent the answer in a list..."
Precision and Approximation Judgment,1,1.4705882352941175,Making decisions about appropriate levels of precision and when to approximate.,"- ""Convert sqrt(1.75) to decimal to a reasonable number of decimal places.""
- ""Round to a reasonable number of decimal places, let's use two decimal places.""
- ""Pr ≈ 1.32 kVAR""","A load dissipates 1.5kW of power in an ac series RC circuit. Given that the power factor is 0.75, what is its reactive power $(P_r)$? What is its apparent power $(P_a)$? Represent the answer in a list..."
Problem Representation,1,1.4705882352941175,Translating problem statements into mathematical notation and equations.,"- ""Let the real power be P, the reactive power be Pr, and the apparent power be Pa.""
- ""The answer should be in the format [$P_r$, $P_a$].""","A load dissipates 1.5kW of power in an ac series RC circuit. Given that the power factor is 0.75, what is its reactive power $(P_r)$? What is its apparent power $(P_a)$? Represent the answer in a list..."
Mathematical Formalization,1,1.4705882352941175,Converting a verbal problem description into precise mathematical notation and structures.,"The solver immediately translates the problem statement into mathematical form:
- ""The state vector is given by $|\psi (t)> = \begin{pmatrix} 1/6 \\ 0 \\ 4/6 \end{pmatrix}$.""
- ""The operator P is given by the matrix $P = \begin{pmatrix} \sqrt{2} & 0 & 0 \\ 0 & 1/\sqrt{2} & i/\sqrt{2} \\ 0 & -i/\sqrt{2} & 1/\sqrt{2} \end{pmatrix}$.""","The state $|\psi (t)>$ of a system at time t is given by the column matrix having elements (1/6, 0, 4/6). An operator P corresponding to an observable of the system is represented by the square matrix..."
Parameterization Strategy,1,1.4705882352941175,The ability to parameterization strategy in mathematical problem-solving.,No evidence provided.,The Chi-square statistic $\chi^2=\sum_c\frac{(P(x)-Q(x))^2}{Q(x)}$ is (twice) the first term in the Taylor series expansion of $D(P||Q)$ about $Q$. True or False?
Series Expansion Knowledge,1,1.4705882352941175,The ability to series expansion knowledge in mathematical problem-solving.,No evidence provided.,The Chi-square statistic $\chi^2=\sum_c\frac{(P(x)-Q(x))^2}{Q(x)}$ is (twice) the first term in the Taylor series expansion of $D(P||Q)$ about $Q$. True or False?
Constraint Application,1,1.4705882352941175,The ability to constraint application in mathematical problem-solving.,No evidence provided.,"How many positive integers have exactly three proper divisors (positive integral divisors excluding itself), each of which is less than 50?"
Multivariate Calculus Application,1,1.4705882352941175,The ability to multivariate calculus application in mathematical problem-solving.,No evidence provided.,The Chi-square statistic $\chi^2=\sum_c\frac{(P(x)-Q(x))^2}{Q(x)}$ is (twice) the first term in the Taylor series expansion of $D(P||Q)$ about $Q$. True or False?
Partial Derivative Computation,1,1.4705882352941175,The ability to partial derivative computation in mathematical problem-solving.,No evidence provided.,The Chi-square statistic $\chi^2=\sum_c\frac{(P(x)-Q(x))^2}{Q(x)}$ is (twice) the first term in the Taylor series expansion of $D(P||Q)$ about $Q$. True or False?
Physical Modeling and Translation,1,1.4705882352941175,The ability to physical modeling and translation in mathematical problem-solving.,No evidence provided.,"Given vertically polarized light, you're given the task of changing it to horizontally polarized light by passing it through a series of $N=5$ linear polarizers. What is the maximum possible efficienc..."
Sequential Reasoning,1,1.4705882352941175,The ability to sequential reasoning in mathematical problem-solving.,No evidence provided.,"Given vertically polarized light, you're given the task of changing it to horizontally polarized light by passing it through a series of $N=5$ linear polarizers. What is the maximum possible efficienc..."
Simplification Through Special Cases,1,1.4705882352941175,The ability to simplification through special cases in mathematical problem-solving.,No evidence provided.,"Given vertically polarized light, you're given the task of changing it to horizontally polarized light by passing it through a series of $N=5$ linear polarizers. What is the maximum possible efficienc..."
Symmetry,1,1.4705882352941175,The ability to symmetry in mathematical problem-solving.,No evidence provided.,"Given vertically polarized light, you're given the task of changing it to horizontally polarized light by passing it through a series of $N=5$ linear polarizers. What is the maximum possible efficienc..."
Trigonometric Manipulation,1,1.4705882352941175,The ability to trigonometric manipulation in mathematical problem-solving.,No evidence provided.,"Given vertically polarized light, you're given the task of changing it to horizontally polarized light by passing it through a series of $N=5$ linear polarizers. What is the maximum possible efficienc..."
Optimization Reasoning,1,1.4705882352941175,The ability to optimization reasoning in mathematical problem-solving.,No evidence provided.,"Given vertically polarized light, you're given the task of changing it to horizontally polarized light by passing it through a series of $N=5$ linear polarizers. What is the maximum possible efficienc..."
Problem Representation and Reformulation,1,1.4705882352941175,The ability to translate a problem into a workable mental model and reformulate it in different ways to gain new insights.,"- ""We can think of this as a prefix code problem, but with a constraint on the first symbol.""
- ""Consider the structure of the code. It is a ternary tree for the first level, and binary trees for the subsequent levels.""
- ""Consider the analogy of a source with a ternary symbol followed by binary.""","Suppose the codeword that we use to describe a random variable X always starts with a symbol chosen from the set {7, 8, 9} , followed by binary digits {0, 1}. Thus we have a ternary code for the first..."
Strategic Pathway Selection,1,1.4705882352941175,The ability to strategic pathway selection in mathematical problem-solving.,No evidence provided.,"In a resource-limited ecological system, a population of organisms cannot keep growing forever (such as lab bacteria growing inside culture tube). The effective growth rate $g$ (including"
Integration of Domain Knowledge,1,1.4705882352941175,The ability to integration of domain knowledge in mathematical problem-solving.,No evidence provided.,"In a resource-limited ecological system, a population of organisms cannot keep growing forever (such as lab bacteria growing inside culture tube). The effective growth rate $g$ (including"
Numerical Estimation and Approximation,1,1.4705882352941175,The ability to numerical estimation and approximation in mathematical problem-solving.,No evidence provided.,"In a resource-limited ecological system, a population of organisms cannot keep growing forever (such as lab bacteria growing inside culture tube). The effective growth rate $g$ (including"
Complex Analysis Knowledge Application,1,1.4705882352941175,Applying specialized mathematical knowledge from complex analysis to solve problems involving integrals.,"The solver immediately recognizes that contour integration and the residue theorem are appropriate tools:
- ""Consider the function $g(z) = \frac{e^{2 \pi \mathrm{i} z x}}{1+z^{2}} = \frac{e^{2 \pi \mathrm{i} z x}}{(z-i)(z+i)}$. The singularities are at $z=i$ and $z=-i$.""
- ""By the residue theorem, $\int_{-\infty}^{+\infty} \frac{e^{2 \pi \mathrm{i} u x}}{1+u^{2}} \mathrm{d} u = 2 \pi \mathrm{i} \times \text{Residue at } z=i$""","For a continuous and absolutely integrable complex-valued function $f(x)$ on $\mathbb{R}$, define a function $(S f)(x)$ on $\mathbb{R}$ by $(S f)(x)=\int_{-\infty}^{+\infty} e^{2 \pi \mathrm{i} u x} f..."
Case,1,1.4705882352941175,The ability to case in mathematical problem-solving.,No evidence provided.,"Let $A$ be a $2n \times 2n$ matrix, with entries chosen independently at random. Every entry is chosen to be 0 or 1, each with probability $1/2$. Find the expected value of $\det(A-A^t)$ (as a functio..."
Verification and Consistency Checking,1,1.4705882352941175,The practice of validating intermediate results to ensure correctness and consistency.,"""Check if a+b = (7729+2929)/146 = 10658/146 = 73. Correct."" and ""Also C = (a+19, h) = (7729/146 + 19, h) = ... = (10503/146, h). Consistent.""","Trapezoid $ABCD^{}_{}$ has sides $AB=92^{}_{}$ , $BC=50^{}_{}$ , $CD=19^{}_{}$ , and $AD=70^{}_{}$ , with $AB^{}_{}$ parallel to $CD^{}_{}$ . A circle with center $P^{}_{}$ on $AB^{}_{}$ is drawn tang..."
Systematic Evaluation of Answer Choices,1,1.4705882352941175,Methodically analyzing each possible answer to determine which best fits the calculated solution.,"- ""If Z=51 is the most stable, then 51 - 46 = 5 beta decays. Energy = 20 MeV -> 4 MeV per decay (reasonable).""
- ""If Z=47 is the most stable, then 47 - 46 = 1 beta decay. Energy = 5 MeV (reasonable).""
- ""If Z=50 is the most stable, then 50 - 46 = 4 beta decays.",Consider the fission of $^{236}U$ into two equal mass prompt fission fragments and zero free neutrons. What is the value of proton number Z giving the most stable nucleus with the same mass number? Wh...
